fid,objectid,jrstatcode,gm_code,gm_naam,water,jaar
204,204,2025GM0687,GM0687,Middelburg (Z.),NEE,2025
205,205,2025GM0362,GM0362,Amstelveen,NEE,2025
206,206,2025GM0203,GM0203,Barneveld,NEE,2025
207,207,2025GM0855,GM0855,Tilburg,NEE,2025
208,208,2025GM0221,GM0221,Doesburg,NEE,2025
210,210,2025GM0439,GM0439,Purmerend,NEE,2025
211,211,2025GM1992,GM1992,Voorne aan Zee,NEE,2025
212,212,2025GM0668,GM0668,West Maas en Waal,NEE,2025
213,213,2025GM0373,GM0373,Bergen (NH.),NEE,2025
214,214,2025GM0590,GM0590,Papendrecht,NEE,2025
215,215,2025GM0352,GM0352,Wijk bij Duurstede,NEE,2025
216,216,2025GM1884,GM1884,Kaag en Braassem,NEE,2025
217,217,2025GM1970,GM1970,Noardeast-Fryslân,NEE,2025
218,218,2025GM0080,GM0080,Leeuwarden,NEE,2025
219,219,2025GM0716,GM0716,Tholen,NEE,2025
220,220,2025GM0537,GM0537,Katwijk,NEE,2025
221,221,2025GM0388,GM0388,Enkhuizen,NEE,2025
223,223,2025GM1742,GM1742,Rijssen-Holten,NEE,2025
224,224,2025GM0263,GM0263,Maasdriel,NEE,2025
225,225,2025GM0392,GM0392,Haarlem,NEE,2025
226,226,2025GM1924,GM1924,Goeree-Overflakkee,NEE,2025
227,227,2025GM0858,GM0858,Valkenswaard,NEE,2025
228,228,2025GM1714,GM1714,Sluis,NEE,2025
229,229,2025GM1708,GM1708,Steenwijkerland,NEE,2025
230,230,2025GM0820,GM0820,"Nuenen, Gerwen en Nederwetten",NEE,2025
232,232,2025GM0513,GM0513,Gouda,NEE,2025
234,234,2025GM1955,GM1955,Montferland,NEE,2025
236,236,2025GM1711,GM1711,Echt-Susteren,NEE,2025
237,237,2025GM0158,GM0158,Haaksbergen,NEE,2025
238,238,2025GM0981,GM0981,Vaals,NEE,2025
239,239,2025GM1652,GM1652,Gemert-Bakel,NEE,2025
240,240,2025GM1669,GM1669,Roerdalen,NEE,2025
241,241,2025GM1729,GM1729,Gulpen-Wittem,NEE,2025
242,242,2025GM1961,GM1961,Vijfheerenlanden,NEE,2025
244,244,2025GM1774,GM1774,Dinkelland,NEE,2025
245,245,2025GM0085,GM0085,Ooststellingwerf,NEE,2025
246,246,2025GM0090,GM0090,Smallingerland,NEE,2025
247,247,2025GM1876,GM1876,Bronckhorst,NEE,2025
248,248,2025GM0448,GM0448,Texel,NEE,2025
249,249,2025GM1940,GM1940,De Fryske Marren,NEE,2025
250,250,2025GM1963,GM1963,Hoeksche Waard,NEE,2025
251,251,2025GM0209,GM0209,Beuningen,NEE,2025
